,Pas de procédure,"5 945,76 €",RACHAT DE 4 CLIO DE LOCATION,Achat de véhicules légers avec carte grise correspondante,Fournitures,REAGROUP PARIS RENAULT  FRESNES,PARC AUTO
,Pas de procédure,"3 582,76 €",RACHAT DE 4 CLIO DE LOCATION,Achat de véhicules légers avec carte grise correspondante,Fournitures,REAGROUP PARIS RENAULT  FRESNES,PARC AUTO
,Pas de procédure,"3 349,76 €",RACHAT DE 4 CLIO DE LOCATION,Achat de véhicules légers avec carte grise correspondante,Fournitures,REAGROUP PARIS RENAULT  FRESNES,PARC AUTO
,Pas de procédure,"1 039,76 €",RACHAT DE 4 CLIO DE LOCATION,Achat de véhicules légers avec carte grise correspondante,Fournitures,REAGROUP PARIS RENAULT  FRESNES,PARC AUTO
,Pas de procédure,"7 500,00 €",KANGOO DB474RY VOITURE ASTREINTE,Achat de véhicules légers avec carte grise correspondante,Fournitures,RVO,PARC AUTO
220201,Pas de procédure,"9 671,76 €",ACQUISITION  DACIA POUR LE STADE,Achat de véhicules légers avec carte grise correspondante,Fournitures,COLIN AUTOMOBILES SAS,PARC AUTO
1436LO,MAPA lourd,"4 810,56 €",KASPERSKY ANTI VIRUS POUR SERVEUR MAIL,"Achat et mise à jour de licences de logiciel métier (Aductis, Arpége, …)",Fournitures,HCS MISCO INMAC WSTORE,NUMERIQUE
1436LO,MAPA lourd,"1 677,42 €",LICENCES MICROSOFT OFFICE 2016,"Achat et mise à jour de licences de logiciel métier (Aductis, Arpége, …)",Fournitures,HCS MISCO INMAC WSTORE,NUMERIQUE
,Pas de procédure,"470,90 €",MISCO - ACQUISITION DEUX LICENCES MARKZ,"Achat et mise à jour de licences de logiciel métier (Aductis, Arpége, …)",Fournitures,HCS MISCO INMAC WSTORE,NUMERIQUE
1436LO,MAPA lourd,"3 840,48 €",MISCO- LOGICIEL ANTIVIRUS BITDEFENDER  ,"Achat et mise à jour de licences de logiciel métier (Aductis, Arpége, …)",Fournitures,HCS MISCO INMAC WSTORE,NUMERIQUE
1436LO,MAPA lourd,"70,00 €",MISCO - LOGICIEL ANTI-VIRUS ECOLES,"Achat et mise à jour de licences de logiciel métier (Aductis, Arpége, …)",Fournitures,HCS MISCO INMAC WSTORE,NUMERIQUE
1436LO,MAPA lourd,"1 141,76 €",MISCO - LOGICIEL ANTI-VIRUS ECOLES,"Achat et mise à jour de licences de logiciel métier (Aductis, Arpége, …)",Fournitures,HCS MISCO INMAC WSTORE,NUMERIQUE
1436LO,MAPA lourd,"4 984,56 €",MISCO  - RENOUVELLEMENT LICENCES KASPER,"Achat et mise à jour de licences de logiciel métier (Aductis, Arpége, …)",Fournitures,HCS MISCO INMAC WSTORE,NUMERIQUE
1436LO,MAPA lourd,"246,65 €",MISCO  - LOGICIEL SCE INFORMATIQUE,"Achat et mise à jour de licences de logiciel métier (Aductis, Arpége, …)",Fournitures,HCS MISCO INMAC WSTORE,NUMERIQUE
